date_utc,asset,close,daily_return,ma_20,ma_50,vol_30d,trend_signal,asset_class,vol_30d_rank,vol_30d_pct
2022-03-07,EURUSD,1.087453007698059,-0.017377526810348876,1.1275352001190186,1.130743944644928,0.005442000866789594,-1.0,fx,3.0,0.6666666666666666
2022-03-08,EURUSD,1.0865312814712524,-0.0008476009724390776,1.1246469795703888,1.1298145055770874,0.005442805898244287,-1.0,fx,3.0,0.6666666666666666
2022-03-09,EURUSD,1.0898232460021973,0.003029792687134769,1.122031831741333,1.1289814162254332,0.005500817053497408,-1.0,fx,3.0,0.6666666666666666
2022-03-10,EURUSD,1.107382893562317,0.01611238118156666,1.1202933669090271,1.128408772945404,0.006281876889371555,-1.0,fx,3.0,0.6666666666666666
2022-03-11,EURUSD,1.1013944149017334,-0.005407776023448663,1.118285459280014,1.1277866053581238,0.006166458327835989,-1.0,fx,3.0,0.6666666666666666
2022-03-14,EURUSD,1.093206763267517,-0.00743389608975531,1.1161205112934112,1.1269038224220276,0.006296228167769808,-1.0,fx,3.0,0.6666666666666666
2022-03-15,EURUSD,1.0943193435668943,0.0010177217492250978,1.1143048048019408,1.1261857199668883,0.006141613753476172,-1.0,fx,3.0,0.6666666666666666
2022-03-16,EURUSD,1.0969363451004028,0.002391442268559807,1.1123676419258117,1.1255571961402893,0.006106278265737622,-1.0,fx,3.0,0.6666666666666666
2022-03-17,EURUSD,1.1021955013275146,0.004794404206408531,1.1106010675430298,1.1249741125106811,0.006167855589240945,-1.0,fx,3.0,0.6666666666666666
2022-03-18,EURUSD,1.1099518537521362,0.007037183889137211,1.1092662692070008,1.1245793867111207,0.005870399328352146,0.0,fx,3.0,0.6666666666666666
2022-03-21,EURUSD,1.1043134927749634,-0.005079824821331402,1.1078958928585052,1.123957736492157,0.00589429604121705,-1.0,fx,3.0,0.6666666666666666
2022-03-22,EURUSD,1.101722002029419,-0.002346698435271688,1.1064337015151977,1.1233313417434692,0.005897900931641285,-1.0,fx,3.0,0.6666666666666666
2022-03-23,EURUSD,1.1029735803604126,0.0011360200928076658,1.1049367129802703,1.122657856941223,0.005912343265595418,-1.0,fx,3.0,0.6666666666666666
2022-03-24,EURUSD,1.1006306409835815,-0.0021242026269255865,1.1034397721290587,1.1217871737480163,0.005910712707687874,-1.0,fx,3.0,0.6666666666666666
2022-03-25,EURUSD,1.1009578704833984,0.00029731091215534633,1.1025342166423797,1.1208921003341674,0.005915935406066325,-1.0,fx,3.0,0.6666666666666666
2022-03-28,EURUSD,1.098189115524292,-0.002514860044454559,1.1015384018421173,1.1200344729423524,0.005890209076563523,-1.0,fx,3.0,0.6666666666666666
2022-03-29,EURUSD,1.099384307861328,0.0010883301611173124,1.1004280269145965,1.119201009273529,0.005852818744247774,-1.0,fx,3.0,0.6666666666666666
2022-03-30,EURUSD,1.1091516017913818,0.008884330857018119,1.1002218127250671,1.1187247467041015,0.006045461035650529,0.0,fx,3.0,0.6666666666666666
