date_utc,crypto,fx,stablecoin
2025-03-24,0.0382143818620994,0.00043418305825466676,0.0002100042000838
2025-03-25,0.011338396659367733,-0.00031073192768266665,-1.9996200721794644e-05
2025-03-26,-0.003863728636790534,-0.0020907125302057,-7.998640231166032e-05
2025-03-27,-0.0075378412904539,0.0017256933433244664,-0.0003199712025916
2025-03-28,-0.046683815843431974,0.0011068549668005,-0.0002500575132281
2025-03-29,-0.0388161703228848,,0.0001500720345766
2025-03-30,-0.010459796811264667,,0.000250082527234
2025-03-31,0.003499555436344733,-0.0026179898731405666,-0.0001300104008321
2025-04-01,0.04061589416826633,0.0002288543639316333,0.0002100441092629
2025-04-02,-0.04929755009638676,-0.0004405667928171666,-0.0001999999999999
2025-04-03,0.0036336822611407666,-0.0006129307004110672,-0.0002000400080015
2025-04-04,0.021223510051645036,-0.001005791364300867,6.00240096038096e-05
2025-04-05,-0.0081451298768994,,-5.00170057819993e-05
2025-04-06,-0.10098572897102391,,-0.0003401326517341
2025-04-07,-0.0016480188693106664,-0.0026427976543759,0.0002501826333223
2025-04-08,-0.0460116180948392,0.0052402654731731994,-0.0004602209060349
2025-04-09,0.11503846948390539,-0.0008150758188465336,0.0006806398014134
2025-04-10,-0.05590637824668193,0.001818566340538566,-0.0003500910236661
2025-04-11,0.039932607455698065,0.0012452855298250337,0.0001400854521258
2025-04-12,0.0400600500040433,,0.0003501645773513
2025-04-13,-0.0256248076783583,,-0.0001700204024482
2025-04-14,0.0008025103894092669,0.002147064090594,0.000210060917666
2025-04-15,-0.021520249804267366,-0.0017770945923234333,0.0
2025-04-16,0.0017225958735456667,-0.002706843849635633,6.0004800384039214e-05
2025-04-17,0.0076308600552890335,-0.0002566746752813665,2.000040000793568e-05
2025-04-18,0.0026886165876436664,,-0.00011
2025-04-19,0.006886945622779133,,1.0001100121170836e-05
2025-04-20,-0.009202373131816667,,7.000700070003418e-05
2025-04-21,0.0164325107930572,,4.000120003611052e-05
2025-04-22,0.1004492201422652,-0.0008753630853787336,0.0003899961000388
2025-04-23,0.008449573534931967,-0.00010156850634669998,-9.996001599454908e-06
2025-04-24,0.0035745671320560335,0.0015936935815389665,-9.99610152030428e-06
2025-04-25,0.003682072964106034,-0.00043487080682713344,0.0002199164317557
2025-04-26,0.006927263734926533,,-0.000309814111533
2025-04-27,-0.0132292510123347,,4.998550420398651e-05
2025-04-28,0.005468634832055866,0.0019000591944708333,-0.0001199592138672
2025-04-29,-0.0112920984614988,-0.002791095684082933,2.999340145160012e-05
2025-04-30,-0.005864087964581133,-0.00025605785079853337,-0.0001599600099976
2025-05-01,0.033128407100061735,-0.002723782669675633,0.0001999820016198
2025-05-02,0.0036459800027797335,0.0055016539688726,6.997970588540348e-05
2025-05-03,-0.015923846797181965,,-0.0001399496181372
2025-05-04,-0.01999258646728923,,-0.0001299714062907
2025-05-05,0.0037643110541840667,-0.0017702139662453002,-0.0001399874011338
2025-05-06,0.010065933007081833,-0.0037307465899538666,-2.0001000050062775e-05
2025-05-07,-0.0006415277042516334,0.0016949535321171,0.000230016101127
2025-05-08,0.1446914390431665,0.0009149103950628331,-0.0001899696048631
2025-05-09,0.03205643697078773,0.007576026082124934,0.000140004200126
2025-05-10,0.1134319447684931,,-3.999560048395523e-05
2025-05-11,-0.0360261358814796,,0.0001199916005878
2025-05-12,-0.0080590601691445,-0.0029119990808937333,-0.0002399544086623
2025-05-13,0.04309546371800967,3.5410285083662305e-06,0.0001100055002749
2025-05-14,-0.0216420685970421,0.0013167273601996001,6.999580025190966e-05
2025-05-15,-0.02628817811630457,-0.00041738771283669995,9.998700168933894e-06
2025-05-16,0.00035441436816906663,-0.0022027027162813666,0.0001699762033315
2025-05-17,-0.019064713536287668,,-9.996900960818069e-06
2025-05-18,0.042460314317620935,,0.0001299610116964
2025-05-19,-0.010956069116935368,-0.0006578905164795665,-0.0001699269314194
2025-05-20,0.0063520387121071996,0.00012592095686670017,8.997660608245361e-05
2025-05-21,0.0236547318509947,0.0007706624460273335,6.997550857201773e-05
2025-05-22,0.03730883494129494,0.00020347609981523327,-0.0001599328282123
2025-05-23,-0.05805662591130201,0.00024594768389323327,-1.999480135150833e-05
2025-05-24,0.0019511604982226348,,0.0001099736063345
2025-05-25,0.0063782223700765,,-9.996501224684984e-06
2025-05-26,0.0043634948277284,-0.002615547224377767,2.998980346680113e-05
2025-05-27,0.0113409828621524,-0.00019608913209159999,0.0001299519177904
2025-05-28,-0.008588213777589934,0.002844162344509234,-0.0002098950524738
2025-05-29,-0.0223748174269861,0.0005728039321436334,-0.0002899159243818
2025-05-30,-0.050449941311539535,-0.00019070110952200005,0.0003599999999999
2025-05-31,-0.00025932379366786694,,0.0001399496181375
2025-06-01,0.0067832066554490665,,0.0
2025-06-02,0.012241257417142265,-1.4212185083800058e-05,-1.999000499741665e-05
